Time(s),Torque,signal_0,signal_1,signal_2
2.69,0.03663004,-1.0,-0.1,21.6
2.69,0.041514043,-1.0,-0.1,21.6
2.69,0.031746034,-1.0,-0.1,21.6
2.7,0.03663004,-1.0,-0.1,21.6
2.7,0.03663004,-1.0,-0.1,21.6
2.7,0.031746034,-1.0,-0.1,21.6
2.7,0.031746034,-1.1,-0.1,21.6
2.7,0.031746034,-1.1,-0.1,21.6
2.7,0.031746034,-1.1,-0.1,21.6
2.7,0.031746034,-1.1,-0.1,21.6
2.7,0.03663004,-1.1,-0.1,21.6
2.71,0.041514043,-1.1,-0.1,21.6
2.71,0.046398047,-1.1,-0.1,21.6
2.71,0.041514043,-1.1,-0.1,21.6
2.71,0.041514043,-1.1,-0.1,21.6
2.71,0.041514043,-1.1,-0.1,21.700000000000003
2.71,0.046398047,-1.1,-0.1,21.700000000000003
2.71,0.056166057,-1.1,-0.1,21.700000000000003
2.71,0.051282052,-1.1,-0.1,21.700000000000003
2.72,0.046398047,-1.1,-0.1,21.700000000000003
2.72,0.046398047,-1.1,-0.1,21.700000000000003
2.72,0.051282052,-1.1,-0.1,21.700000000000003
2.72,0.056166057,-1.1,-0.1,21.700000000000003
2.72,0.056166057,-1.1,-0.1,21.700000000000003
2.72,0.056166057,-1.1,-0.1,21.700000000000003
2.72,0.056166057,-1.1,-0.1,21.700000000000003
2.72,0.056166057,-1.1,-0.1,21.700000000000003
2.73,0.06105006,-1.1,-0.1,21.700000000000003
2.73,0.06593407,-1.1,-0.1,21.700000000000003
2.73,0.070818074,-1.1,-0.1,21.700000000000003
2.73,0.06593407,-1.1,-0.1,21.700000000000003
2.73,0.06105006,-1.1,-0.1,21.700000000000003
2.73,0.06593407,-1.1,-0.1,21.700000000000003
2.73,0.06593407,-1.1,-0.1,21.700000000000003
2.73,0.070818074,-1.1,-0.1,21.700000000000003
2.73,0.070818074,-1.1,-0.1,21.700000000000003
2.74,0.07570208,-1.1,-0.1,21.700000000000003
2.74,0.070818074,-1.1,-0.1,21.6
2.74,0.070818074,-1.1,-0.1,21.6
2.74,0.070818074,-1.1,-0.1,21.6
2.74,0.07570208,-1.1,-0.1,21.6
2.74,0.07570208,-1.1,-0.1,21.6
2.74,0.08058608,-1.1,-0.1,21.6
2.74,0.07570208,-1.1,-0.1,21.6
2.75,0.07570208,-1.1,-0.1,21.6
2.75,0.08058608,-1.1,-0.1,21.6
2.75,0.08058608,-1.1,-0.1,21.6
2.75,0.08058608,-1.1,-0.1,21.6
2.75,0.07570208,-1.1,-0.1,21.700000000000003
2.75,0.070818074,-1.1,-0.1,21.700000000000003
2.75,0.08058608,-1.1,-0.1,21.700000000000003
2.76,0.08058608,-1.1,-0.1,21.700000000000003
2.76,0.08058608,-1.1,-0.1,21.700000000000003
2.76,0.07570208,-1.1,-0.1,21.700000000000003
2.76,0.08058608,-1.1,-0.1,21.700000000000003
2.76,0.07570208,-1.1,-0.1,21.700000000000003
2.76,0.07570208,-1.1,-0.1,21.700000000000003
2.76,0.07570208,-1.1,-0.1,21.700000000000003
2.76,0.07570208,-1.1,-0.1,21.700000000000003
2.76,0.07570208,-1.1,-0.1,21.700000000000003
2.77,0.07570208,-1.1,-0.1,21.700000000000003
2.77,0.070818074,-1.1,-0.1,21.700000000000003
2.77,0.070818074,-1.1,-0.1,21.700000000000003
2.77,0.070818074,-1.1,-0.1,21.700000000000003
2.77,0.070818074,-1.1,-0.1,21.700000000000003
2.77,0.07570208,-1.1,-0.1,21.700000000000003
2.77,0.07570208,-1.1,-0.1,21.700000000000003
2.78,0.07570208,-1.1,-0.1,21.700000000000003
2.78,0.08058608,-1.1,-0.1,21.700000000000003
2.78,0.08547009,-1.1,-0.1,21.700000000000003
2.78,0.08058608,-1.1,-0.1,21.700000000000003
2.78,0.08547009,-1.1,-0.1,21.700000000000003
2.78,0.08547009,-1.1,-0.1,21.700000000000003
2.78,0.09035409,-1.1,-0.1,21.700000000000003
2.78,0.0952381,-1.1,-0.1,21.700000000000003
2.78,0.0952381,-1.1,-0.1,21.700000000000003
2.79,0.105006106,-1.1,-0.1,21.700000000000003
2.79,0.105006106,-1.1,-0.1,21.700000000000003
2.79,0.10989011,-1.1,-0.1,21.700000000000003
2.79,0.105006106,-1.1,-0.1,21.700000000000003
2.79,0.10989011,-1.0,-0.1,21.700000000000003
2.79,0.114774115,-1.0,-0.1,21.700000000000003
